Quel mot signifie "école" en anglais ?,School,House,Apple,Cat
Quel mot signifie "bonjour" en anglais ?,Hello,Goodbye,Thank you,Sorry
Quel mot signifie "chat" en anglais ?,Cat,Dog,Bird,Fish
Quel mot signifie "merci" en anglais ?,Thank you,Hello,Goodbye,Please
Quel mot signifie "rouge" en anglais ?,Red,Yellow,Blue,Green
Quel mot signifie "manger" en anglais ?,Eat,Drink,Sleep,Run
Quel mot signifie "livre" en anglais ?,Book,Pen,Table,Chair
Quel mot signifie "grand" en anglais ?,Tall,Small,Big,Short
Quel mot signifie "plage" en anglais ?,Beach,River,Forest,Montain
Quel mot signifie "heure" en anglais ?,Hour,Time,Clock,Minute
