Quel est le contraire du mot "petit" ?,Grand,Lourd,Rapide,Doux
Quel est la dernière lettre de l'alphabet ?,Z,A,X,W
Quelle est la terminaison correcte pour le verbe "manger" a la troisième personne du singulier au présent de l'indicatif ?,Mange,Manges,Mangez,Mangeant
Quel est le nom de la personne qui écris les livres ?,Auteur,Lecteur,Editeur,Bibliothécaire
Quelle est la terminaison correcte pour le mot "joli" au féminin ?,Jolie,Jole,Jolis,Jolies
Quel est le synonyme du mot "content" ?,Heureux,Triste,Fatigué,Ennuyé
Quelle est la nature grammaticale du mot "arbre" ?,Nom,Adjectif,Verbe,Adverbe
Quel est l'antonyme du mot "rapide" ?,Lent,Haut,Fort,Doux
Quel est le synonyme du mot "effrayant" ?,Terrifiant,Joyeux,Triste,Effet
Quel est l'antonyme du mot "calme" ?,Nerveux,Fou,Triste,Ordinateur
