Quelle est la capitale de la France,Paris,Marseille,Lille,Lyon,
Quelle est la capitale de l'Italie,Rome,Naples,Venise,Milan,
Quelle est la capitale de l'Espagne,Madrid,Barcelone,Séville,Buenos Aires ,
Quelle est la capitale de l'Allemagne ,Berlin,Hambourg,Munich,New York,
Quelle est la capitale des Etats Unis,Washington,Los Angeles,New York,Miami,
Quelle est la capitale de la Belgique,Bruxelles,Anvers,Gand,Lille,
Quelle est la capitale de l'Angleterre,Londres,Manchester,Oxford,Édimbourg,
Quelle est la capitale du Portugal,Lisbonne,Porto,Valence,Málaga,
Quelle est la capitale de l'Australie,Canberra,Melbourne,Brisbane,Sydney,
Quelle est la capitale de la Chine,Pékin,Shanghai,-Hong--Kong-,Tokyo,
