Combien de côtés a un triangle,3,2,4,5
Combien de côtés a un carré,4,3,7,5
Combien de côtés a un losange,4,5,3,6
Combien de côtés a un pentagone,5,4,7,3
Combien de côtés a un trapèze,4,5,8,7
Combien de côtés a un octogone,8,9,4,6
Combien de côtés a un hexagone,6,8,9,4
Qu'est-ce qu'un quadrilatère qui a 4 côtés de même longueur et 4 angles droits ? ,Un Carré,Un trapèze,Une droite,Un triangle
Qu'est-ce qu'un triangle avec un angle droit (un angle de 90°) ?,Triangle rectangle,Triangle équilatéral,Triangle isocèle,Triangle quelconque
Qu'est-ce qu'un triangle avec les trois côtés de même longueur et les trois angles de même amplitude ? ,Triangle équilatéral,Triangle rectangle,Triangle isocèle,Triangle quelconque
