En quelle année est sortie la nintendo 64,1996,1985,1992,1993
En quelle année est sorti GTA 5,2013,2015,2010,2011
En quelle année est sorti zelda BOTW,2017,2015,2016,2018
En quelle année est sorti pokemon rouge,1996,1994,1993,1990
En quelle année est sortie la gameboy,1989,1990,1996,1985
En quelle année est sortie la PS2,2000,2001,1999,2005
En quelle année est sortie la Xbox 360,2005,2006,2001,2003
En quelle année est sortie la nintendo switch,2017,2015,2011,2018
En quelle année est sorti tetris,1984,1990,1986,1988
En quelle année est sortie la GeForce RTX 3070. ,2020,2019,2021,2018
