Quel est le nom de l'astre autour duquel la Terre tourne ?,Soleil,Lune,Mars,Vénus
Quel organe du corps humain est chargé de pomper le sang ?,Coeur,Poumon,Foie,Estomac
Quelle est la force qui attire les objets vers la Terre ?,Gravité,Magnétisme,Electricité ,Pression
-Quel gaz respire--t--on principalement dans l'air ?-,Oxygène,Azote,Dioxyde de carbone,Hydrogène
Quel est le processus par lequel l'eau passe de l'état liquide à l'état gazeux ?,Evaporation,Condensation,Fusion,Solidification
Quelle est la planète la plus proche du soleil ?,Mercure,Vénus,Mars,Jupiter
Quel est l'organe du corps humain responsable de la digestion des aliments ?,Estomac,Foie,Intestin,Cerveau
Quel instrument est utilisé pour mesurer la température ?,Thermomètre,Baromètre,Téléscope,Microscope
Quel processus permet aux plantes de produire leur propre nourriture en utilisant la lumière du soleil ?,Photosynthèse,Respiration,Digestion,Transpiration
-Quelle est la couche externe de la Terre où vivent les plantes et les animaux et les humains ?-,Croûte,Noyau,Manteau,Ecorce
